ratio,tp_size,profit,hit_rate,duration
0.24738982830203593,5.010924118203741,0.004392382999593901,0.353,82.14253838663288
0.24738982830203593,6.147580998958779,0.004488066264132936,0.294,97.86045132494772
0.24738982830203593,7.551196869063537,0.004500229944781817,0.24,117.76038795844816
0.24738982830203593,9.28903982013387,0.004659398596066717,0.202,143.07777777777778
0.24738982830203593,11.44761932505236,0.004320822616382585,0.152,167.4028108705411
0.24738982830203593,14.139329286890723,0.004388807093496082,0.125,nan
0.24738982830203593,17.511941266179853,0.004218069164427465,0.097,nan
0.24738982830203593,21.762444753190646,0.003998960107673434,0.074,nan
0.24738982830203593,27.157666449487493,0.002798647604634508,0.0415,nan
0.24738982830203593,34.06571830144334,0.0019455977584994393,0.023,nan
0.30194476813729665,0.1660927428429826,0.0009400753715899714,1.868,12.485105717911395
